127.0.0.1 - - [30/Dec/2019:15:02:43 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [30/Dec/2019:15:02:43 +0900] "GET /html01/basic01.html HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [30/Dec/2019:15:02:43 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [30/Dec/2019:15:24:18 +0900] "GET /html01/basic01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:43:06 +0900] "GET /html01/basic01.html HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:43:25 +0900] "GET /html01/basic01.html HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:47:33 +0900] "GET /html01/basic01.html HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:47:50 +0900] "GET /html01/basic01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:49:34 +0900] "GET /html01/basic01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:51:58 +0900] "GET /html01/basic01.html HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [30/Dec/2019:17:02:51 +0900] "GET /html01/basic01.html HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [30/Dec/2019:17:20:28 +0900] "GET /html01/basic01.html HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [30/Dec/2019:17:24:36 +0900] "GET /html01/basic01.html HTTP/1.1" 200 352
